"frc3620","frc1756","frc4237","2018arc_f1m1_red","f","2018arc"
"frc4541","frc868","frc4003","2018arc_f1m1_blue","f","2018arc"
"frc3620","frc1756","frc4237","2018arc_f1m2_red","f","2018arc"
"frc4541","frc868","frc4003","2018arc_f1m2_blue","f","2018arc"
"frc5436","frc1114","frc67","2018arc_qf1m1_red","qf","2018arc"
"frc1559","frc4786","frc1259","2018arc_qf1m1_blue","qf","2018arc"
"frc4557","frc1114","frc67","2018arc_qf1m2_red","qf","2018arc"
"frc1559","frc4786","frc1259","2018arc_qf1m2_blue","qf","2018arc"
"frc4557","frc1114","frc67","2018arc_qf1m3_red","qf","2018arc"
"frc1559","frc4786","frc1259","2018arc_qf1m3_blue","qf","2018arc"
"frc3620","frc1756","frc4237","2018arc_qf2m1_red","qf","2018arc"
"frc1923","frc3656","frc6328","2018arc_qf2m1_blue","qf","2018arc"
"frc3620","frc1756","frc4237","2018arc_qf2m2_red","qf","2018arc"
"frc1923","frc3656","frc303","2018arc_qf2m2_blue","qf","2018arc"
"frc2016","frc694","frc1325","2018arc_qf3m1_red","qf","2018arc"
"frc4392","frc2075","frc3928","2018arc_qf3m1_blue","qf","2018arc"
"frc1325","frc694","frc870","2018arc_qf3m2_red","qf","2018arc"
"frc4392","frc2075","frc3928","2018arc_qf3m2_blue","qf","2018arc"
"frc4541","frc868","frc4003","2018arc_qf4m1_red","qf","2018arc"
"frc4776","frc2200","frc1218","2018arc_qf4m1_blue","qf","2018arc"
"frc4541","frc868","frc4003","2018arc_qf4m2_red","qf","2018arc"
"frc4776","frc2200","frc1218","2018arc_qf4m2_blue","qf","2018arc"
"frc4541","frc868","frc4003","2018arc_qf4m3_red","qf","2018arc"
"frc4776","frc2200","frc1218","2018arc_qf4m3_blue","qf","2018arc"
"frc7160","frc3381","frc3656","2018arc_qm1_red","qm","2018arc"
"frc3928","frc1756","frc6875","2018arc_qm1_blue","qm","2018arc"
"frc1259","frc3620","frc2202","2018arc_qm10_red","qm","2018arc"
"frc6968","frc1262","frc5413","2018arc_qm10_blue","qm","2018arc"
"frc3620","frc6237","frc5422","2018arc_qm100_red","qm","2018arc"
"frc1493","frc1325","frc1923","2018arc_qm100_blue","qm","2018arc"
"frc58","frc3767","frc4786","2018arc_qm101_red","qm","2018arc"
"frc4521","frc447","frc2081","2018arc_qm101_blue","qm","2018arc"
"frc555","frc4011","frc2075","2018arc_qm102_red","qm","2018arc"
"frc6328","frc870","frc5407","2018arc_qm102_blue","qm","2018arc"
"frc4392","frc2228","frc7329","2018arc_qm103_red","qm","2018arc"
"frc5413","frc694","frc2549","2018arc_qm103_blue","qm","2018arc"
"frc5216","frc1322","frc4096","2018arc_qm104_red","qm","2018arc"
"frc4541","frc2177","frc612","2018arc_qm104_blue","qm","2018arc"
"frc6237","frc1493","frc4557","2018arc_qm105_red","qm","2018arc"
"frc2202","frc6329","frc3381","2018arc_qm105_blue","qm","2018arc"
"frc5913","frc1559","frc894","2018arc_qm106_red","qm","2018arc"
"frc1756","frc3656","frc5436","2018arc_qm106_blue","qm","2018arc"
"frc2620","frc870","frc2081","2018arc_qm107_red","qm","2018arc"
"frc2220","frc1114","frc2377","2018arc_qm107_blue","qm","2018arc"
"frc2830","frc5531","frc1259","2018arc_qm108_red","qm","2018arc"
"frc447","frc4003","frc2075","2018arc_qm108_blue","qm","2018arc"
"frc6875","frc4011","frc868","2018arc_qm109_red","qm","2018arc"
"frc4786","frc1262","frc6860","2018arc_qm109_blue","qm","2018arc"
"frc4237","frc7329","frc1322","2018arc_qm11_red","qm","2018arc"
"frc2620","frc4011","frc894","2018arc_qm11_blue","qm","2018arc"
"frc58","frc555","frc4909","2018arc_qm110_red","qm","2018arc"
"frc3620","frc4237","frc3928","2018arc_qm110_blue","qm","2018arc"
"frc5724","frc303","frc5407","2018arc_qm111_red","qm","2018arc"
"frc6968","frc5422","frc7160","2018arc_qm111_blue","qm","2018arc"
"frc6328","frc1218","frc3767","2018arc_qm112_red","qm","2018arc"
"frc2200","frc6121","frc4776","2018arc_qm112_blue","qm","2018arc"
"frc5674","frc3618","frc1923","2018arc_qm113_red","qm","2018arc"
"frc2016","frc4521","frc67","2018arc_qm113_blue","qm","2018arc"
"frc1660","frc2620","frc1114","2018arc_qm114_red","qm","2018arc"
"frc1325","frc5913","frc868","2018arc_qm114_blue","qm","2018arc"
"frc555","frc6875","frc4521","2018arc_qm12_red","qm","2018arc"
"frc868","frc1218","frc2177","2018arc_qm12_blue","qm","2018arc"
"frc5216","frc303","frc1756","2018arc_qm13_red","qm","2018arc"
"frc6121","frc5674","frc58","2018arc_qm13_blue","qm","2018arc"
"frc7160","frc6237","frc3618","2018arc_qm14_red","qm","2018arc"
"frc5913","frc1114","frc612","2018arc_qm14_blue","qm","2018arc"
"frc3928","frc2830","frc447","2018arc_qm15_red","qm","2018arc"
"frc1559","frc1660","frc2202","2018arc_qm15_blue","qm","2018arc"
"frc6860","frc2377","frc4541","2018arc_qm16_red","qm","2018arc"
"frc1325","frc1259","frc2200","2018arc_qm16_blue","qm","2018arc"
"frc4237","frc5724","frc5436","2018arc_qm17_red","qm","2018arc"
"frc2081","frc2075","frc2177","2018arc_qm17_blue","qm","2018arc"
"frc5407","frc3620","frc894","2018arc_qm18_red","qm","2018arc"
"frc5531","frc2620","frc4392","2018arc_qm18_blue","qm","2018arc"
"frc4786","frc3656","frc2016","2018arc_qm19_red","qm","2018arc"
"frc870","frc4909","frc2228","2018arc_qm19_blue","qm","2018arc"
"frc5436","frc4096","frc2016","2018arc_qm2_red","qm","2018arc"
"frc4776","frc447","frc6237","2018arc_qm2_blue","qm","2018arc"
"frc694","frc1923","frc555","2018arc_qm20_red","qm","2018arc"
"frc6968","frc3767","frc1493","2018arc_qm20_blue","qm","2018arc"
"frc4557","frc4776","frc4003","2018arc_qm21_red","qm","2018arc"
"frc5422","frc1262","frc7329","2018arc_qm21_blue","qm","2018arc"
"frc5413","frc1322","frc6329","2018arc_qm22_red","qm","2018arc"
"frc2220","frc67","frc6328","2018arc_qm22_blue","qm","2018arc"
"frc5674","frc4096","frc4011","2018arc_qm23_red","qm","2018arc"
"frc3381","frc2549","frc1259","2018arc_qm23_blue","qm","2018arc"
"frc4521","frc2620","frc2228","2018arc_qm24_red","qm","2018arc"
"frc303","frc5436","frc5913","2018arc_qm24_blue","qm","2018arc"
"frc1114","frc4392","frc4237","2018arc_qm25_red","qm","2018arc"
"frc868","frc6121","frc447","2018arc_qm25_blue","qm","2018arc"
"frc1218","frc7329","frc2016","2018arc_qm26_red","qm","2018arc"
"frc2075","frc1756","frc3620","2018arc_qm26_blue","qm","2018arc"
"frc3767","frc1559","frc1262","2018arc_qm27_red","qm","2018arc"
"frc5531","frc67","frc870","2018arc_qm27_blue","qm","2018arc"
"frc1322","frc612","frc5422","2018arc_qm28_red","qm","2018arc"
"frc694","frc2081","frc6875","2018arc_qm28_blue","qm","2018arc"
"frc4003","frc2202","frc2377","2018arc_qm29_red","qm","2018arc"
"frc58","frc5724","frc4096","2018arc_qm29_blue","qm","2018arc"
"frc2081","frc58","frc5422","2018arc_qm3_red","qm","2018arc"
"frc2830","frc67","frc868","2018arc_qm3_blue","qm","2018arc"
"frc1493","frc3928","frc3618","2018arc_qm30_red","qm","2018arc"
"frc4786","frc6328","frc4776","2018arc_qm30_blue","qm","2018arc"
"frc4557","frc4541","frc5216","2018arc_qm31_red","qm","2018arc"
"frc6860","frc7160","frc2830","2018arc_qm31_blue","qm","2018arc"
